type,year,state_name,state_code,organ,counts
Transplant Recipients,2017,Alabama,AL,All,499
Transplant Recipients,2017,Alabama,AL,Heart,36
Transplant Recipients,2017,Alabama,AL,Kidney,318
Transplant Recipients,2017,Alabama,AL,Kidney-Pancreas,0
Transplant Recipients,2017,Alabama,AL,Liver,130
Transplant Recipients,2017,Alabama,AL,Lung,21
Transplant Recipients,2017,Alabama,AL,Pancreas,0
Transplant Recipients,2017,Alaska,AK,All,46
Transplant Recipients,2017,Alaska,AK,Heart,0
Transplant Recipients,2017,Alaska,AK,Kidney,35
Transplant Recipients,2017,Alaska,AK,Kidney-Pancreas,0
Transplant Recipients,2017,Alaska,AK,Liver,0
Transplant Recipients,2017,Alaska,AK,Lung,0
Transplant Recipients,2017,Alaska,AK,Pancreas,0
Transplant Recipients,2017,All,All,All,33434
Transplant Recipients,2017,All,All,Heart,3239
Transplant Recipients,2017,All,All,Kidney,19827
Transplant Recipients,2017,All,All,Kidney-Pancreas,789
Transplant Recipients,2017,All,All,Liver,7971
Transplant Recipients,2017,All,All,Lung,2440
Transplant Recipients,2017,All,All,Pancreas,210
Transplant Recipients,2017,Arizona,AZ,All,916
Transplant Recipients,2017,Arizona,AZ,Heart,68
Transplant Recipients,2017,Arizona,AZ,Kidney,543
Transplant Recipients,2017,Arizona,AZ,Kidney-Pancreas,20
Transplant Recipients,2017,Arizona,AZ,Liver,211
Transplant Recipients,2017,Arizona,AZ,Lung,89
Transplant Recipients,2017,Arizona,AZ,Pancreas,0
Transplant Recipients,2017,Arkansas,AR,All,222
Transplant Recipients,2017,Arkansas,AR,Heart,27
Transplant Recipients,2017,Arkansas,AR,Kidney,108
Transplant Recipients,2017,Arkansas,AR,Kidney-Pancreas,0
Transplant Recipients,2017,Arkansas,AR,Liver,75
Transplant Recipients,2017,Arkansas,AR,Lung,0
Transplant Recipients,2017,Arkansas,AR,Pancreas,0
Transplant Recipients,2017,California,CA,All,3678
Transplant Recipients,2017,California,CA,Heart,336
Transplant Recipients,2017,California,CA,Kidney,2306
Transplant Recipients,2017,California,CA,Kidney-Pancreas,66
Transplant Recipients,2017,California,CA,Liver,905
Transplant Recipients,2017,California,CA,Lung,208
Transplant Recipients,2017,California,CA,Pancreas,0
Transplant Recipients,2017,Colorado,CO,All,507
Transplant Recipients,2017,Colorado,CO,Heart,36
Transplant Recipients,2017,Colorado,CO,Kidney,322
Transplant Recipients,2017,Colorado,CO,Kidney-Pancreas,0
Transplant Recipients,2017,Colorado,CO,Liver,113
Transplant Recipients,2017,Colorado,CO,Lung,32
Transplant Recipients,2017,Colorado,CO,Pancreas,0
Transplant Recipients,2017,Connecticut,CT,All,338
Transplant Recipients,2017,Connecticut,CT,Heart,43
Transplant Recipients,2017,Connecticut,CT,Kidney,221
Transplant Recipients,2017,Connecticut,CT,Kidney-Pancreas,0
Transplant Recipients,2017,Connecticut,CT,Liver,53
Transplant Recipients,2017,Connecticut,CT,Lung,20
Transplant Recipients,2017,Connecticut,CT,Pancreas,0
Transplant Recipients,2017,Delaware,DE,All,128
Transplant Recipients,2017,Delaware,DE,Heart,0
Transplant Recipients,2017,Delaware,DE,Kidney,55
Transplant Recipients,2017,Delaware,DE,Kidney-Pancreas,0
Transplant Recipients,2017,Delaware,DE,Liver,42
Transplant Recipients,2017,Delaware,DE,Lung,20
Transplant Recipients,2017,Delaware,DE,Pancreas,0
Transplant Recipients,2017,District of Columbia,DC,All,92
Transplant Recipients,2017,District of Columbia,DC,Heart,0
Transplant Recipients,2017,District of Columbia,DC,Kidney,59
Transplant Recipients,2017,District of Columbia,DC,Kidney-Pancreas,0
Transplant Recipients,2017,District of Columbia,DC,Liver,25
Transplant Recipients,2017,District of Columbia,DC,Lung,0
Transplant Recipients,2017,District of Columbia,DC,Pancreas,0
Transplant Recipients,2017,Florida,FL,All,1959
Transplant Recipients,2017,Florida,FL,Heart,231
Transplant Recipients,2017,Florida,FL,Kidney,1092
