Statistics,Year,State of Residence Name,State of Residence Code,Organ,Counts
Deceased Organ Donors,2017,Alabama,AL,All,172
Deceased Organ Donors,2017,Alabama,AL,Heart,58
Deceased Organ Donors,2017,Alabama,AL,Kidney,154
Deceased Organ Donors,2017,Alabama,AL,Liver,153
Deceased Organ Donors,2017,Alabama,AL,Lung,31
Deceased Organ Donors,2017,Alabama,AL,Pancreas,
Deceased Organ Donors,2017,Alaska,AK,All,32
Deceased Organ Donors,2017,Alaska,AK,Heart,
Deceased Organ Donors,2017,Alaska,AK,Kidney,31
Deceased Organ Donors,2017,Alaska,AK,Liver,24
Deceased Organ Donors,2017,Alaska,AK,Lung,
Deceased Organ Donors,2017,Alaska,AK,Pancreas,
Deceased Organ Donors,2017,All,All,All,10286
Deceased Organ Donors,2017,All,All,Heart,3305
Deceased Organ Donors,2017,All,All,Kidney,9401
Deceased Organ Donors,2017,All,All,Liver,8373
Deceased Organ Donors,2017,All,All,Lung,2440
Deceased Organ Donors,2017,All,All,Pancreas,1316
Deceased Organ Donors,2017,Arizona,AZ,All,267
Deceased Organ Donors,2017,Arizona,AZ,Heart,72
Deceased Organ Donors,2017,Arizona,AZ,Kidney,254
Deceased Organ Donors,2017,Arizona,AZ,Liver,219
Deceased Organ Donors,2017,Arizona,AZ,Lung,73
Deceased Organ Donors,2017,Arizona,AZ,Pancreas,30
Deceased Organ Donors,2017,Arkansas,AR,All,74
Deceased Organ Donors,2017,Arkansas,AR,Heart,25
Deceased Organ Donors,2017,Arkansas,AR,Kidney,68
Deceased Organ Donors,2017,Arkansas,AR,Liver,60
Deceased Organ Donors,2017,Arkansas,AR,Lung,
Deceased Organ Donors,2017,Arkansas,AR,Pancreas,
Deceased Organ Donors,2017,California,CA,All,962
Deceased Organ Donors,2017,California,CA,Heart,323
Deceased Organ Donors,2017,California,CA,Kidney,908
Deceased Organ Donors,2017,California,CA,Liver,811
Deceased Organ Donors,2017,California,CA,Lung,232
Deceased Organ Donors,2017,California,CA,Pancreas,115
Deceased Organ Donors,2017,Colorado,CO,All,127
Deceased Organ Donors,2017,Colorado,CO,Heart,38
Deceased Organ Donors,2017,Colorado,CO,Kidney,121
