Statistics,Year,State of Residence Name,State of Residence Code,Organ,Counts
Deceased Organ Donors,2017,Alabama,AL,All,172.0
Deceased Organ Donors,2017,Alabama,AL,Heart,58.0
Deceased Organ Donors,2017,Alabama,AL,Kidney,154.0
Deceased Organ Donors,2017,Alabama,AL,Liver,153.0
Deceased Organ Donors,2017,Alabama,AL,Lung,31.0
Deceased Organ Donors,2017,Alabama,AL,Pancreas,
Deceased Organ Donors,2017,Alaska,AK,All,32.0
Deceased Organ Donors,2017,Alaska,AK,Heart,
Deceased Organ Donors,2017,Alaska,AK,Kidney,31.0
Deceased Organ Donors,2017,Alaska,AK,Liver,24.0
Deceased Organ Donors,2017,Alaska,AK,Lung,
Deceased Organ Donors,2017,Alaska,AK,Pancreas,
Deceased Organ Donors,2017,All,All,All,10286.0
Deceased Organ Donors,2017,All,All,Heart,3305.0
Deceased Organ Donors,2017,All,All,Kidney,9401.0
Deceased Organ Donors,2017,All,All,Liver,8373.0
Deceased Organ Donors,2017,All,All,Lung,2440.0
Deceased Organ Donors,2017,All,All,Pancreas,1316.0
Deceased Organ Donors,2017,Arizona,AZ,All,267.0
Deceased Organ Donors,2017,Arizona,AZ,Heart,72.0
Deceased Organ Donors,2017,Arizona,AZ,Kidney,254.0
Deceased Organ Donors,2017,Arizona,AZ,Liver,219.0
Deceased Organ Donors,2017,Arizona,AZ,Lung,73.0
Deceased Organ Donors,2017,Arizona,AZ,Pancreas,30.0
Deceased Organ Donors,2017,Arkansas,AR,All,74.0
Deceased Organ Donors,2017,Arkansas,AR,Heart,25.0
Deceased Organ Donors,2017,Arkansas,AR,Kidney,68.0
Deceased Organ Donors,2017,Arkansas,AR,Liver,60.0
Deceased Organ Donors,2017,Arkansas,AR,Lung,
Deceased Organ Donors,2017,Arkansas,AR,Pancreas,
Deceased Organ Donors,2017,California,CA,All,962.0
Deceased Organ Donors,2017,California,CA,Heart,323.0
Deceased Organ Donors,2017,California,CA,Kidney,908.0
Deceased Organ Donors,2017,California,CA,Liver,811.0
Deceased Organ Donors,2017,California,CA,Lung,232.0
Deceased Organ Donors,2017,California,CA,Pancreas,115.0
Deceased Organ Donors,2017,Colorado,CO,All,127.0
Deceased Organ Donors,2017,Colorado,CO,Heart,38.0
Deceased Organ Donors,2017,Colorado,CO,Kidney,121.0
Deceased Organ Donors,2017,Colorado,CO,Liver,92.0
Deceased Organ Donors,2017,Colorado,CO,Lung,
Deceased Organ Donors,2017,Colorado,CO,Pancreas,
Deceased Organ Donors,2017,Connecticut,CT,All,85.0
Deceased Organ Donors,2017,Connecticut,CT,Heart,27.0
Deceased Organ Donors,2017,Connecticut,CT,Kidney,80.0
Deceased Organ Donors,2017,Connecticut,CT,Liver,69.0
Deceased Organ Donors,2017,Connecticut,CT,Lung,23.0
Deceased Organ Donors,2017,Connecticut,CT,Pancreas,
Deceased Organ Donors,2017,Delaware,DE,All,64.0
Deceased Organ Donors,2017,Delaware,DE,Heart,18.0
Deceased Organ Donors,2017,Delaware,DE,Kidney,60.0
Deceased Organ Donors,2017,Delaware,DE,Liver,52.0
Deceased Organ Donors,2017,Delaware,DE,Lung,
Deceased Organ Donors,2017,Delaware,DE,Pancreas,
Deceased Organ Donors,2017,District of Columbia,DC,All,17.0
Deceased Organ Donors,2017,District of Columbia,DC,Heart,
Deceased Organ Donors,2017,District of Columbia,DC,Kidney,
Deceased Organ Donors,2017,District of Columbia,DC,Liver,16.0
Deceased Organ Donors,2017,District of Columbia,DC,Lung,
Deceased Organ Donors,2017,District of Columbia,DC,Pancreas,
Deceased Organ Donors,2017,Florida,FL,All,680.0
Deceased Organ Donors,2017,Florida,FL,Heart,207.0
Deceased Organ Donors,2017,Florida,FL,Kidney,619.0
Deceased Organ Donors,2017,Florida,FL,Liver,545.0
Deceased Organ Donors,2017,Florida,FL,Lung,142.0
Deceased Organ Donors,2017,Florida,FL,Pancreas,87.0
Deceased Organ Donors,2017,Foreign Country,,All,
Deceased Organ Donors,2017,Foreign Country,,Heart,
Deceased Organ Donors,2017,Foreign Country,,Kidney,
Deceased Organ Donors,2017,Foreign Country,,Liver,
Deceased Organ Donors,2017,Foreign Country,,Lung,0.0
Deceased Organ Donors,2017,Foreign Country,,Pancreas,0.0
Deceased Organ Donors,2017,Georgia,GA,All,288.0
Deceased Organ Donors,2017,Georgia,GA,Heart,103.0
Deceased Organ Donors,2017,Georgia,GA,Kidney,240.0
Deceased Organ Donors,2017,Georgia,GA,Liver,254.0
Deceased Organ Donors,2017,Georgia,GA,Lung,70.0
Deceased Organ Donors,2017,Georgia,GA,Pancreas,22.0
Deceased Organ Donors,2017,Hawaii,HI,All,34.0
Deceased Organ Donors,2017,Hawaii,HI,Heart,0.0
Deceased Organ Donors,2017,Hawaii,HI,Kidney,32.0
Deceased Organ Donors,2017,Hawaii,HI,Liver,24.0
Deceased Organ Donors,2017,Hawaii,HI,Lung,
Deceased Organ Donors,2017,Hawaii,HI,Pancreas,
Deceased Organ Donors,2017,Idaho,ID,All,53.0
Deceased Organ Donors,2017,Idaho,ID,Heart,21.0
Deceased Organ Donors,2017,Idaho,ID,Kidney,52.0
Deceased Organ Donors,2017,Idaho,ID,Liver,42.0
Deceased Organ Donors,2017,Idaho,ID,Lung,
Deceased Organ Donors,2017,Idaho,ID,Pancreas,
Deceased Organ Donors,2017,Illinois,IL,All,444.0
Deceased Organ Donors,2017,Illinois,IL,Heart,128.0
Deceased Organ Donors,2017,Illinois,IL,Kidney,394.0
Deceased Organ Donors,2017,Illinois,IL,Liver,350.0
Deceased Organ Donors,2017,Illinois,IL,Lung,126.0
Deceased Organ Donors,2017,Illinois,IL,Pancreas,66.0
Deceased Organ Donors,2017,Indiana,IN,All,198.0
Deceased Organ Donors,2017,Indiana,IN,Heart,93.0
Deceased Organ Donors,2017,Indiana,IN,Kidney,180.0
Deceased Organ Donors,2017,Indiana,IN,Liver,184.0
Deceased Organ Donors,2017,Indiana,IN,Lung,62.0
Deceased Organ Donors,2017,Indiana,IN,Pancreas,49.0
Deceased Organ Donors,2017,Iowa,IA,All,74.0
Deceased Organ Donors,2017,Iowa,IA,Heart,27.0
Deceased Organ Donors,2017,Iowa,IA,Kidney,68.0
Deceased Organ Donors,2017,Iowa,IA,Liver,57.0
Deceased Organ Donors,2017,Iowa,IA,Lung,
Deceased Organ Donors,2017,Iowa,IA,Pancreas,
Deceased Organ Donors,2017,Kansas,KS,All,130.0
Deceased Organ Donors,2017,Kansas,KS,Heart,44.0
Deceased Organ Donors,2017,Kansas,KS,Kidney,122.0
Deceased Organ Donors,2017,Kansas,KS,Liver,96.0
Deceased Organ Donors,2017,Kansas,KS,Lung,29.0
Deceased Organ Donors,2017,Kansas,KS,Pancreas,25.0
Deceased Organ Donors,2017,Kentucky,KY,All,117.0
Deceased Organ Donors,2017,Kentucky,KY,Heart,46.0
Deceased Organ Donors,2017,Kentucky,KY,Kidney,115.0
Deceased Organ Donors,2017,Kentucky,KY,Liver,104.0
Deceased Organ Donors,2017,Kentucky,KY,Lung,25.0
Deceased Organ Donors,2017,Kentucky,KY,Pancreas,
Deceased Organ Donors,2017,Louisiana,LA,All,183.0
Deceased Organ Donors,2017,Louisiana,LA,Heart,70.0
Deceased Organ Donors,2017,Louisiana,LA,Kidney,163.0
Deceased Organ Donors,2017,Louisiana,LA,Liver,180.0
Deceased Organ Donors,2017,Louisiana,LA,Lung,50.0
Deceased Organ Donors,2017,Louisiana,LA,Pancreas,40.0
Deceased Organ Donors,2017,Maine,ME,All,37.0
Deceased Organ Donors,2017,Maine,ME,Heart,
Deceased Organ Donors,2017,Maine,ME,Kidney,35.0
Deceased Organ Donors,2017,Maine,ME,Liver,30.0
Deceased Organ Donors,2017,Maine,ME,Lung,
Deceased Organ Donors,2017,Maine,ME,Pancreas,
Deceased Organ Donors,2017,Maryland,MD,All,217.0
Deceased Organ Donors,2017,Maryland,MD,Heart,75.0
Deceased Organ Donors,2017,Maryland,MD,Kidney,197.0
Deceased Organ Donors,2017,Maryland,MD,Liver,190.0
Deceased Organ Donors,2017,Maryland,MD,Lung,65.0
Deceased Organ Donors,2017,Maryland,MD,Pancreas,40.0
Deceased Organ Donors,2017,Massachusetts,MA,All,181.0
Deceased Organ Donors,2017,Massachusetts,MA,Heart,59.0
Deceased Organ Donors,2017,Massachusetts,MA,Kidney,167.0
Deceased Organ Donors,2017,Massachusetts,MA,Liver,132.0
Deceased Organ Donors,2017,Massachusetts,MA,Lung,42.0
Deceased Organ Donors,2017,Massachusetts,MA,Pancreas,
Deceased Organ Donors,2017,Michigan,MI,All,340.0
Deceased Organ Donors,2017,Michigan,MI,Heart,87.0
Deceased Organ Donors,2017,Michigan,MI,Kidney,311.0
Deceased Organ Donors,2017,Michigan,MI,Liver,256.0
Deceased Organ Donors,2017,Michigan,MI,Lung,75.0
Deceased Organ Donors,2017,Michigan,MI,Pancreas,38.0
Deceased Organ Donors,2017,Minnesota,MN,All,126.0
Deceased Organ Donors,2017,Minnesota,MN,Heart,34.0
Deceased Organ Donors,2017,Minnesota,MN,Kidney,117.0
Deceased Organ Donors,2017,Minnesota,MN,Liver,96.0
Deceased Organ Donors,2017,Minnesota,MN,Lung,21.0
Deceased Organ Donors,2017,Minnesota,MN,Pancreas,21.0
Deceased Organ Donors,2017,Mississippi,MS,All,110.0
Deceased Organ Donors,2017,Mississippi,MS,Heart,50.0
Deceased Organ Donors,2017,Mississippi,MS,Kidney,98.0
Deceased Organ Donors,2017,Mississippi,MS,Liver,93.0
Deceased Organ Donors,2017,Mississippi,MS,Lung,21.0
Deceased Organ Donors,2017,Mississippi,MS,Pancreas,16.0
Deceased Organ Donors,2017,Missouri,MO,All,283.0
Deceased Organ Donors,2017,Missouri,MO,Heart,93.0
Deceased Organ Donors,2017,Missouri,MO,Kidney,254.0
Deceased Organ Donors,2017,Missouri,MO,Liver,225.0
Deceased Organ Donors,2017,Missouri,MO,Lung,95.0
Deceased Organ Donors,2017,Missouri,MO,Pancreas,42.0
Deceased Organ Donors,2017,Montana,MT,All,25.0
Deceased Organ Donors,2017,Montana,MT,Heart,
Deceased Organ Donors,2017,Montana,MT,Kidney,24.0
Deceased Organ Donors,2017,Montana,MT,Liver,23.0
Deceased Organ Donors,2017,Montana,MT,Lung,
Deceased Organ Donors,2017,Montana,MT,Pancreas,
Deceased Organ Donors,2017,Nebraska,NE,All,58.0
Deceased Organ Donors,2017,Nebraska,NE,Heart,28.0
Deceased Organ Donors,2017,Nebraska,NE,Kidney,56.0
Deceased Organ Donors,2017,Nebraska,NE,Liver,46.0
Deceased Organ Donors,2017,Nebraska,NE,Lung,22.0
Deceased Organ Donors,2017,Nebraska,NE,Pancreas,
Deceased Organ Donors,2017,Nevada,NV,All,143.0
Deceased Organ Donors,2017,Nevada,NV,Heart,40.0
Deceased Organ Donors,2017,Nevada,NV,Kidney,127.0
Deceased Organ Donors,2017,Nevada,NV,Liver,123.0
Deceased Organ Donors,2017,Nevada,NV,Lung,30.0
Deceased Organ Donors,2017,Nevada,NV,Pancreas,
Deceased Organ Donors,2017,New Hampshire,NH,All,29.0
Deceased Organ Donors,2017,New Hampshire,NH,Heart,
Deceased Organ Donors,2017,New Hampshire,NH,Kidney,29.0
Deceased Organ Donors,2017,New Hampshire,NH,Liver,23.0
Deceased Organ Donors,2017,New Hampshire,NH,Lung,
Deceased Organ Donors,2017,New Hampshire,NH,Pancreas,
Deceased Organ Donors,2017,New Jersey,NJ,All,272.0
Deceased Organ Donors,2017,New Jersey,NJ,Heart,95.0
Deceased Organ Donors,2017,New Jersey,NJ,Kidney,252.0
