Transplant Year,Donor Type,Organ Transplanted,Total Distinct Recipients,Male Distinct Recipients,Female Distinct Recipients,Distinct Recipients with Age Not Reported,Pediatric Distinct Recipients,Age 18-30 Distinct Recipients,Age 31-40 Distinct Recipients,Age 41-50 Distinct Recipients,Age 51-60 Distinct Recipients,Age 61+ Distinct Recipients,White Distinct Recipients,Black Distinct Recipients,Hispanic Distinct Recipients,Asian Distinct Recipients,American Indian Distinct Recipients,Native Hawaiian Distinct Recipients,Multiracial Distinct Recipients,Distinct Recipients with Medicare Advantage Payment Source,Distinct Recipients with Private Insurance Payment Source,Distinct Recipients with Medicare FFS Payment Source,Distinct Recipients with Medicaid and CHIP Payment Source,Distinct Recipients with Other Insurance Payment Sources
2017,Deceased Donor,Heart,3239,2320,919,0,     431,     210,250,475,861,    1012,1995,     756,     328,     118,Suppressed,Suppressed,      20,     449,1487,572,     612,     119
2017,Deceased Donor,Kidney,14027,8451,5576,0,     511,     893,1698,2702,3784,    4439,5389,    4566,    2750,    1009,     156,      61,      96,    2383,3029,7226,    1081,     308
2017,Deceased Donor,Kidney-Pancreas,789,499,290,0,Suppressed,      70,272,281,138,Suppressed,418,     218,     121,      22,Suppressed,Suppressed,Suppressed,     101,290,325,Suppressed,Suppressed
2017,Deceased Donor,Liver,7616,4908,2708,0,     518,     267,490,1043,2423,    2875,5320,     725,    1134,     307,      71,Suppressed,      44,     807,3679,1396,    1402,     332
2017,Deceased Donor,Lung,2440,1431,1009,0,      44,     160,172,201,639,    1224,1930,     237,     196,      64,Suppressed,Suppressed,Suppressed,     542,1081,530,     209,      78
2017,Deceased Donor,Pancreas,210,110,100,0,      29,Suppressed,54,52,40,Suppressed,167,      23,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,104,46,      33,Suppressed
2017,Deceased Donor,All Transplanted Organ Types,27282,17040,10242,0,    1480,    1580,2866,4610,7536,    9210,14593,    6333,    4377,    1484,     237,      93,     165,    4137,9249,9812,    3264,     820
2017,Living Donor,Kidney,5805,3615,2190,0,     235,     653,823,1191,1473,    1430,3837,     706,     858,     341,      21,Suppressed,      28,     582,3272,1525,     330,      96
2017,Living Donor,Liver,367,198,169,0,      72,      23,33,48,87,     104,288,Suppressed,      44,Suppressed,Suppressed,       0,Suppressed,      40,244,30,      36,      17
2017,Living Donor,All Transplanted Organ Types,6172,3813,2359,0,     307,     676,856,1239,1560,    1534,4125,     720,     902,     356,      24,Suppressed,      31,     622,3516,1555,     366,     113
2017,All Donors,All Transplanted Organ Types,33434,20842,12592,0,    1784,    2252,3721,5845,9091,   10741,18706,    7050,    5276,    1838,     261,     107,     196,    4758,12750,11365,    3629,     932
2018,Deceased Donor,Heart,3400,2375,1025,0,     468,     206,251,482,872,    1121,2126,     734,     360,     133,Suppressed,Suppressed,      24,     511,1519,609,     621,     140
2018,Deceased Donor,Kidney,14713,8721,5992,0,     479,     929,1674,2701,3833,    5097,5505,    4765,    2970,    1111,     152,      73,     137,    2405,3198,7533,    1219,     358
2018,Deceased Donor,Kidney-Pancreas,834,521,313,0,Suppressed,      76,285,296,144,Suppressed,404,     249,     142,      21,Suppressed,Suppressed,Suppressed,     109,332,315,Suppressed,Suppressed
2018,Deceased Donor,Liver,7741,4989,2752,0,     486,     303,530,1035,2401,    2986,5307,     684,    1258,     348,      72,      18,      54,     828,3694,1466,    1424,     329
2018,Deceased Donor,Lung,2522,1511,1011,0,      35,     162,157,239,579,    1350,1992,     234,     222,      53,Suppressed,Suppressed,Suppressed,     568,1044,585,     235,      90
2018,Deceased Donor,Pancreas,190,93,97,0,      31,Suppressed,49,46,33,Suppressed,140,      26,      17,Suppressed,Suppressed,       0,Suppressed,Suppressed,99,34,      41,Suppressed
2018,Deceased Donor,All Transplanted Organ Types,28381,17556,10825,0,    1451,    1658,2876,4655,7537,   10204,14868,    6500,    4808,    1632,     242,     101,     230,    4285,9501,10256,    3431,     908
2018,Living Donor,Kidney,6438,4028,2410,0,     274,     730,883,1274,1563,    1714,4177,     785,    1011,     386,      30,Suppressed,      35,     677,3434,1843,     352,     132
2018,Living Donor,Liver,401,219,182,0,      62,      21,37,57,88,     136,307,Suppressed,      61,Suppressed,       0,Suppressed,Suppressed,Suppressed,225,47,      74,Suppressed
2018,Living Donor,All Transplanted Organ Types,6836,4246,2590,0,     335,     751,920,1331,1650,    1849,4483,     800,    1071,     399,      30,Suppressed,      38,     721,3658,1890,     425,     142
2018,All Donors,All Transplanted Organ Types,35198,21792,13406,0,    1785,    2408,3794,5979,9184,   12048,19336,    7299,    5879,    2028,     272,     116,     268,    5003,13147,12144,    3855,    1049
2019,Deceased Donor,Heart,3542,2459,1083,0,     507,     273,293,507,909,    1053,2164,     798,     405,     124,Suppressed,Suppressed,      25,     498,1669,502,     694,     179
2019,Deceased Donor,Kidney,16521,9935,6586,0,     518,     949,1913,2976,4342,    5823,6171,    5390,    3367,    1220,     143,      80,     150,    2752,3686,8399,    1292,     392
2019,Deceased Donor,Kidney-Pancreas,872,545,327,0,Suppressed,      74,340,264,164,Suppressed,427,     253,     148,      36,Suppressed,Suppressed,Suppressed,      80,374,338,Suppressed,Suppressed
2019,Deceased Donor,Liver,8263,5252,3011,0,     457,     317,648,1202,2541,    3098,5704,     665,    1410,     341,      71,      18,      54,     914,4056,1469,    1485,     339
2019,Deceased Donor,Lung,2711,1632,1079,0,      50,     165,160,249,677,    1410,2088,     257,     285,      66,Suppressed,Suppressed,Suppressed,     669,1126,577,     220,     119
2019,Deceased Donor,Pancreas,143,73,70,0,      18,Suppressed,36,40,27,Suppressed,101,      23,      17,Suppressed,       0,       0,Suppressed,Suppressed,83,29,      16,Suppressed
2019,Deceased Donor,All Transplanted Organ Types,30967,19220,11747,0,    1505,    1739,3302,5112,8331,   10978,16033,    7181,    5439,    1746,     223,     113,     232,    4770,10541,11015,    3625,    1016
2019,Living Donor,Kidney,6865,4318,2547,0,     241,     797,984,1291,1643,    1909,4400,     883,    1070,     405,      31,Suppressed,      63,     749,3703,1894,     359,     160
2019,Living Donor,Liver,524,270,254,0,      79,      47,41,59,131,     167,407,      20,      68,      17,Suppressed,Suppressed,Suppressed,Suppressed,326,59,      76,Suppressed
2019,Living Donor,All Transplanted Organ Types,7389,4588,2801,0,     320,     844,1025,1350,1774,    2076,4807,     903,    1138,     422,      34,Suppressed,      70,     799,4029,1953,     435,     173
